"Directory","RelativePath","FileName","FullPath","Extension","SizeMB","SizeBytes"
".NET Aspire","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Aspire Course Prerequisites.docx","Aspire Course Prerequisites.docx","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Aspire Course Prerequisites.docx",".docx","0.0429","44953"
".NET Aspire","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\AspireAWS - IDVerify.drawio","AspireAWS - IDVerify.drawio","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\AspireAWS - IDVerify.drawio",".drawio","0.0093","9714"
".NET Aspire","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher.htm","Building Distributed Systems with Aspire  - Tamir Dresher.htm","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher.htm",".htm","25.4644","26701359"
".NET Aspire","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher.md","Building Distributed Systems with Aspire  - Tamir Dresher.md","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher.md",".md","0.0948","99360"
".NET Aspire","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher.pdf","Building Distributed Systems with Aspire  - Tamir Dresher.pdf","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher.pdf",".pdf","5.8912","6177396"
".NET Aspire","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher.pptx","Building Distributed Systems with Aspire  - Tamir Dresher.pptx","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher.pptx",".pptx","17.8359","18702336"
".NET Aspire","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher.rtf","Building Distributed Systems with Aspire  - Tamir Dresher.rtf","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher.rtf",".rtf","0.0831","87182"
".NET Aspire","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\NET Aspire - AWS meetup 2024 - Tamir Dresher.pdf","NET Aspire - AWS meetup 2024 - Tamir Dresher.pdf","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\NET Aspire - AWS meetup 2024 - Tamir Dresher.pdf",".pdf","7.4713","7834180"
".NET Aspire","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\NET Aspire - AWS meetup 2024 - Tamir Dresher.pptx","NET Aspire - AWS meetup 2024 - Tamir Dresher.pptx","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\NET Aspire - AWS meetup 2024 - Tamir Dresher.pptx",".pptx","8.9821","9418427"
".NET Aspire","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\NET Aspire - NET Conf IL 2024 - Tamir Dresher.pdf","NET Aspire - NET Conf IL 2024 - Tamir Dresher.pdf","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\NET Aspire - NET Conf IL 2024 - Tamir Dresher.pdf",".pdf","3.7419","3923697"
".NET Aspire","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\NET Aspire - NET Conf IL 2024 - Tamir Dresher.pptx","NET Aspire - NET Conf IL 2024 - Tamir Dresher.pptx","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\NET Aspire - NET Conf IL 2024 - Tamir Dresher.pptx",".pptx","9.7214","10193660"
".NET Aspire","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\NET Aspire Syllabus.docx","NET Aspire Syllabus.docx","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\NET Aspire Syllabus.docx",".docx","0.1533","160768"
".NET Aspire","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\NET-Aspire-Course-Syllabus.docx","NET-Aspire-Course-Syllabus.docx","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\NET-Aspire-Course-Syllabus.docx",".docx","0.0376","39398"
".NET Aspire","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\plan.docx","plan.docx","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\plan.docx",".docx","0.6402","671255"
".NET Aspire","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\responses.txt","responses.txt","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\responses.txt",".txt","0","0"
".NET Aspire","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\colorschememapping.xml","colorschememapping.xml","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\colorschememapping.xml",".xml","0.0003","314"
".NET Aspire","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\filelist.xml","filelist.xml","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\filelist.xml",".xml","0.0082","8628"
".NET Aspire","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\header.htm","header.htm","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\header.htm",".htm","0.0119","12428"
".NET Aspire","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image001.png","image001.png","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image001.png",".png","0.519","544241"
".NET Aspire","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image002.png","image002.png","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image002.png",".png","0.0137","14350"
".NET Aspire","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image003.jpg","image003.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image003.jpg",".jpg","0.0581","60961"
