"Directory","FileName","FullPath","Extension","SizeMB","SizeBytes"
".NET Aspire","Aspire Course Prerequisites.docx","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Aspire Course Prerequisites.docx",".docx","0.04","44953"
".NET Aspire","AspireAWS - IDVerify.drawio","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\AspireAWS - IDVerify.drawio",".drawio","0.01","9714"
".NET Aspire","Building Distributed Systems with Aspire  - Tamir Dresher.htm","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher.htm",".htm","25.46","26701359"
".NET Aspire","Building Distributed Systems with Aspire  - Tamir Dresher.md","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher.md",".md","0.09","99360"
".NET Aspire","Building Distributed Systems with Aspire  - Tamir Dresher.pdf","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher.pdf",".pdf","5.89","6177396"
".NET Aspire","Building Distributed Systems with Aspire  - Tamir Dresher.pptx","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher.pptx",".pptx","17.84","18702336"
".NET Aspire","Building Distributed Systems with Aspire  - Tamir Dresher.rtf","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher.rtf",".rtf","0.08","87182"
".NET Aspire","NET Aspire - AWS meetup 2024 - Tamir Dresher.pdf","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\NET Aspire - AWS meetup 2024 - Tamir Dresher.pdf",".pdf","7.47","7834180"
".NET Aspire","NET Aspire - AWS meetup 2024 - Tamir Dresher.pptx","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\NET Aspire - AWS meetup 2024 - Tamir Dresher.pptx",".pptx","8.98","9418427"
".NET Aspire","NET Aspire - NET Conf IL 2024 - Tamir Dresher.pdf","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\NET Aspire - NET Conf IL 2024 - Tamir Dresher.pdf",".pdf","3.74","3923697"
".NET Aspire","NET Aspire - NET Conf IL 2024 - Tamir Dresher.pptx","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\NET Aspire - NET Conf IL 2024 - Tamir Dresher.pptx",".pptx","9.72","10193660"
".NET Aspire","NET Aspire Syllabus.docx","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\NET Aspire Syllabus.docx",".docx","0.15","160768"
".NET Aspire","NET-Aspire-Course-Syllabus.docx","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\NET-Aspire-Course-Syllabus.docx",".docx","0.04","39398"
".NET Aspire","plan.docx","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\plan.docx",".docx","0.64","671255"
".NET Aspire","responses.txt","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\responses.txt",".txt","0","0"
".NET Aspire","colorschememapping.xml","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\colorschememapping.xml",".xml","0","314"
".NET Aspire","filelist.xml","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\filelist.xml",".xml","0.01","8628"
".NET Aspire","header.htm","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\header.htm",".htm","0.01","12428"
".NET Aspire","image001.png","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image001.png",".png","0.52","544241"
".NET Aspire","image002.png","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image002.png",".png","0.01","14350"
".NET Aspire","image003.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image003.jpg",".jpg","0.06","60961"
".NET Aspire","image004.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image004.gif",".gif","0.08","79639"
".NET Aspire","image005.png","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image005.png",".png","0.01","7598"
".NET Aspire","image006.png","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image006.png",".png","0.02","19827"
".NET Aspire","image007.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image007.gif",".gif","0.03","36605"
".NET Aspire","image008.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image008.gif",".gif","0.02","25575"
".NET Aspire","image009.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image009.gif",".gif","0","3352"
".NET Aspire","image010.png","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image010.png",".png","0.05","56905"
