"Directory"	"Files"	"SizeMB"	"SizeGB"	"FileTypes"	"ReadmeFiles"
".NET Aspire"	"279"	"99.84"	"0.0975"	".docx, .drawio, .gif, .htm, .jpg, .md, .pdf, .png, .pptx, .rtf, .thmx, .txt, .xml"	"None"
"Scaling and Coordinating AI Agents for Dev&Prod"	"2"	"40.99"	"0.04"	".pdf, .pptx"	"None"
"Semantic Kernel"	"2"	"4.11"	"0.004"	".pptx, .txt"	"None"
"Semantic Kernel Agents Bootcamp"	"15"	"108.12"	"0.1056"	".docx, .mp4, .pdf, .pptx"	"None"
"Semantic Kernel Course"	"1"	"0.15"	"0.0001"	".docx"	"None"
"The Asynchronous Processing World of .NET"	"5"	"56.85"	"0.0555"	".csv, .pdf, .pptx, .txt"	"None"
"Rx101"	"6"	"8.18"	"0.008"	".gif, .pdf, .pptx, .rtf, .xlsx"	"None"
"ReactiveExtensions"	"1340"	"137.17"	"0.134"	"._, .appxmanifest, .appxrecipe, .backup, .baml, .Cache, .ClientConfig, .config, .cs, .csproj, .datasource, .disco, .dll, .docx, .exe, .gif, .html, .intermediate, .manifest, .nupkg, .nuspec, .pckgdep, .pdb, .pfx, .png, .pptx, .pri, .ps1, .psm1, .resfiles, .resources, .resw, .resx, .settings, .sln, .suo, .svc, .svcinfo, .svcmap, .txt, .user, .wsdl, .xaml, .xml, .xsd"	"Readme.txt; ReadMe.txt; Readme.txt"
"Building Responsive Applications with Rx"	"8"	"26.03"	"0.0254"	".docx, .gif, .pptx, .xlsx"	"None"
"Testing Time and Concurrency Rx"	"4"	"12.76"	"0.0125"	".pdf, .png, .pptx"	"None"
"Cloud Patterns"	"2"	"9.68"	"0.0095"	".pdf, .pptx"	"None"
"NDC Oslo 2016"	"965"	"528.55"	"0.5162"	".asax, .ascx, .aspx, .cache, .ccproj, .config, .cs, .cscfg, .csdef, .cshtml, .csproj, .css, .dll, .eot, .exe, .html, .ico, .jpg, .js, .man, .manifest, .map, .Master, .nupkg, .nuspec, .pdb, .pdf, .pp, .ppt, .pptx, .ps1, .psd1, .psm1, .sln, .suo, .svg, .transform, .ttf, .txt, .wadcfg, .woff, .xdt, .xml, .zip"	"readme.txt; readme.html"
"Event driven for bootcamp"	"2"	"458.5"	"0.4478"	".mp4, .pptx"	"None"
"Messaging Patterns from the trenches"	"6"	"15.82"	"0.0155"	".docx, .pptx"	"None"
"Containers for .NET Developers"	"3"	"10.04"	"0.0098"	".pdf, .pptx"	"None"
"Kubernetes"	"1"	"7.17"	"0.007"	".pptx"	"None"
".NET Core for MS"	"1"	"3.26"	"0.0032"	".pptx"	"None"
"ASP.NET Core Internals"	"1"	"2.91"	"0.0028"	".pptx"	"None"
"ASP.NET Core Internals (Deep Dive)"	"8"	"2.5"	"0.0024"	".png, .pptx, .svg"	"None"
"Concurrent programming in dotnet"	"27"	"59.21"	"0.0578"	".docx, .pdf, .pptx, .zip"	"None"
"DotNetAsyncStreams"	"4"	"39.88"	"0.0389"	".pptx, .txt"	"None"
"Debugging Tricks you wish you knew"	"41"	"172.9"	"0.1689"	".docx, .mp4, .pdf, .png, .pptx, .txt"	"None"
"netconf2025"	"6"	"7.3"	"0.0071"	", .pdf, .pptx, .txt"	"None"
"DotNet 7 what's new"	"4"	"35.74"	"0.0349"	".pdf, .pptx, .txt"	"None"
"CSharp 8"	"1"	"1.23"	"0.0012"	".pptx"	"None"
"The Core of .NET Core"	"12"	"21.17"	"0.0207"	".jpg, .pdf, .png, .pptx, .txt"	"None"
"Anatomy of Data-Driven Architecture"	"5"	"120.56"	"0.1177"	".mp4, .pdf, .pptx"	"None"
"Workflow orchestration"	"1"	"0.01"	"0"	".docx"	"None"
"Smarter Decisions"	"3"	"45.26"	"0.0442"	".pptx, .xlsx"	"None"
"ArchitectureNext2018"	"7"	"33.93"	"0.0331"	".md, .pptx, .txt, .xlsx"	"README.md"
"Courses"	"2366"	"19"	"0.0186"	".baml, .cache, .config, .cs, .csproj, .CSV, .dbml, .dll, .docx, .exe, .gif, .gpState, .htm, .ico, .layout, .lref, .manifest, .pdb, .png, .pptx, .resources, .restext, .resx, .settings, .sln, .suo, .tlog, .txt, .user, .vbproj, .xaml, .zip"	"readme.htm"
"PastSessions"	"4"	"12.56"	"0.0123"	".pptx, .rar"	"None"
"Suggestions"	"2"	"0.06"	"0.0001"	".docx, .xlsx"	"None"
